UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15329033     RESP   3326 
     15329041     RESP   3365 
     15329049     RESP   3401 
     15329057     RESP   3425 
     15329065     RESP   3446 
     15329073     RESP   3467 
     15329081     RESP   3497 
     15329089     RESP   3533 
     15329097     RESP   3572 
     15329105     RESP   3596 
     15329113     RESP   3605 
     15329121     RESP   3611 
     15329129     RESP   3617 
     15329137     RESP   3635 
     15329145     RESP   3653 
     15329153     RESP   3671 
     15329161     RESP   3692 
     15329169     RESP   3713 
     15329177     RESP   3731 
     15329185     RESP   3749 
     15329193     RESP   3755 
     15329201     RESP   3755 
     15329209     RESP   3749 
     15329217     RESP   3743 
     15329225     RESP   3740 
     15329233     RESP   3734 
     15329241     RESP   3725 
     15329249     RESP   3710 
     15329257     RESP   3698 
     15329265     RESP   3689 
     15329273     RESP   3665 
     15329281     RESP   3635 
     15329289     RESP   3605 
     15329297     RESP   3569 
     15329305     RESP   3527 
     15329313     RESP   3470 
     15329321     RESP   3407 
     15329329     RESP   3344 
     15329337     RESP   3281 
     15329345     RESP   3224 
     15329353     RESP   3179 
     15329361     RESP   3122 
     15329369     RESP   3047 
     15329377     RESP   2963 
     15329385     RESP   2867 
     15329393     RESP   2753 
     15329401     RESP   2633 
     15329409     RESP   2522 
     15329417     RESP   2423 
     15329425     RESP   2339 
     15329433     RESP   2264 
     15329441     RESP   2198 
     15329449     RESP   2141 
     15329457     RESP   2087 
     15329465     RESP   2033 
     15329473     RESP   1973 
     15329481     RESP   1907 
     15329489     RESP   1847 
     15329497     RESP   1796 
     15329505     RESP   1757 
     15329513     RESP   1730 
     15329521     RESP   1688 
     15329529     RESP   1655 
     15329537     RESP   1622 
     15329545     RESP   1592 
     15329553     RESP   1559 
     15329561     RESP   1517 
     15329569     RESP   1475 
     15329577     RESP   1442 
     15329585     RESP   1415 
     15329593     RESP   1391 
     15329601     RESP   1367 
     15329609     RESP   1346 
     15329617     RESP   1325 
     15329625     RESP   1304 
     15329633     RESP   1289 
     15329641     RESP   1271 
     15329649     RESP   1259 
     15329657     RESP   1244 
     15329665     RESP   1232 
     15329673     RESP   1217 
     15329681     RESP   1211 
     15329689     RESP   1202 
     15329697     RESP   1196 
     15329705     RESP   1184 
     15329713     RESP   1175 
     15329721     RESP   1166 
     15329729     RESP   1163 
     15329737     RESP   1163 
     15329745     RESP   1151 
     15329753     RESP   1148 
     15329761     RESP   1148 
     15329769     RESP   1163 
     15329777     RESP   1175 
     15329785     RESP   1175 
     15329793     RESP   1172 
     15329801     RESP   1157 
     15329809     RESP   1121 
     15329817     RESP   1070 
     15329825     RESP   1022 
     15329833     RESP    986 
     15329841     RESP    965 
     15329849     RESP    956 
     15329857     RESP    959 
     15329865     RESP    968 
     15329873     RESP    980 
     15329881     RESP    992 
     15329889     RESP    995 
     15329897     RESP    992 
     15329905     RESP    989 
     15329913     RESP    995 
     15329921     RESP   1010 
