UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15323365     PULS   1883 
     15323367     PULS   1883 
     15323369     PULS   1883 
     15323371     PULS   1883 
     15323373     PULS   1883 
     15323375     PULS   1871 
     15323377     PULS   1871 
     15323379     PULS   1883 
     15323381     PULS   1895 
     15323383     PULS   1930 
     15323385     PULS   1965 
     15323387     PULS   2024 
     15323389     PULS   2083 
     15323391     PULS   2165 
     15323393     PULS   2236 
     15323395     PULS   2306 
     15323397     PULS   2353 
     15323399     PULS   2388 
     15323401     PULS   2400 
     15323403     PULS   2388 
     15323405     PULS   2365 
     15323407     PULS   2318 
     15323409     PULS   2259 
     15323411     PULS   2200 
     15323413     PULS   2153 
     15323415     PULS   2106 
     15323419     PULS   1989 
     15323421     PULS   1954 
     15323423     PULS   1895 
     15323425     PULS   1860 
     15323427     PULS   1836 
     15323429     PULS   1813 
     15323431     PULS   1789 
     15323433     PULS   1766 
     15323435     PULS   1742 
     15323437     PULS   1719 
     15323439     PULS   1683 
     15323441     PULS   1648 
     15323443     PULS   1613 
     15323445     PULS   1578 
     15323447     PULS   1566 
     15323449     PULS   1542 
     15323451     PULS   1531 
     15323453     PULS   1531 
     15323455     PULS   1519 
     15323457     PULS   1507 
     15323459     PULS   1484 
     15323461     PULS   1460 
     15323463     PULS   1448 
     15323465     PULS   1425 
     15323467     PULS   1413 
     15323469     PULS   1413 
     15323471     PULS   1413 
     15323473     PULS   1413 
     15323475     PULS   1413 
     15323477     PULS   1413 
     15323479     PULS   1401 
     15323481     PULS   1401 
     15323483     PULS   1401 
     15323485     PULS   1413 
     15323487     PULS   1425 
     15323489     PULS   1448 
     15323491     PULS   1460 
     15323493     PULS   1472 
     15323495     PULS   1495 
     15323497     PULS   1507 
     15323499     PULS   1542 
     15323501     PULS   1566 
     15323503     PULS   1589 
     15323505     PULS   1601 
     15323507     PULS   1625 
     15323509     PULS   1636 
     15323511     PULS   1648 
     15323513     PULS   1660 
     15323515     PULS   1672 
     15323517     PULS   1672 
     15323519     PULS   1683 
     15323521     PULS   1672 
     15323523     PULS   1660 
     15323525     PULS   1636 
     15323527     PULS   1601 
     15323529     PULS   1566 
     15323531     PULS   1531 
     15323533     PULS   1507 
     15323535     PULS   1495 
     15323537     PULS   1495 
     15323539     PULS   1507 
     15323541     PULS   1531 
     15323543     PULS   1554 
     15323545     PULS   1578 
     15323547     PULS   1613 
     15323549     PULS   1636 
     15323551     PULS   1660 
     15323553     PULS   1683 
     15323555     PULS   1683 
     15323557     PULS   1683 
     15323559     PULS   1683 
     15323561     PULS   1683 
     15323563     PULS   1672 
     15323565     PULS   1660 
     15323567     PULS   1660 
     15323569     PULS   1672 
     15323571     PULS   1683 
     15323573     PULS   1707 
     15323575     PULS   1730 
     15323577     PULS   1754 
     15323579     PULS   1777 
     15323581     PULS   1801 
     15323583     PULS   1824 
     15323585     PULS   1848 
     15323587     PULS   1871 
     15323589     PULS   1871 
     15323591     PULS   1883 
     15323593     PULS   1883 
     15323595     PULS   1871 
     15323597     PULS   1836 
     15323599     PULS   1801 
     15323601     PULS   1777 
     15323603     PULS   1742 
     15323605     PULS   1730 
     15323607     PULS   1719 
     15323609     PULS   1719 
     15323611     PULS   1730 
     15323613     PULS   1742 
     15323615     PULS   1766 
     15323617     PULS   1766 
     15323619     PULS   1777 
     15323621     PULS   1789 
     15323623     PULS   1801 
     15323625     PULS   1813 
     15323627     PULS   1813 
     15323629     PULS   1824 
     15323631     PULS   1824 
     15323633     PULS   1824 
     15323635     PULS   1789 
     15323637     PULS   1789 
     15323639     PULS   1789 
     15323641     PULS   1777 
     15323643     PULS   1789 
     15323645     PULS   1813 
     15323647     PULS   1824 
     15323649     PULS   1836 
     15323651     PULS   1848 
     15323653     PULS   1860 
     15323655     PULS   1860 
     15323657     PULS   1871 
     15323659     PULS   1871 
     15323661     PULS   1848 
     15323663     PULS   1836 
     15323665     PULS   1824 
     15323667     PULS   1813 
     15323669     PULS   1777 
     15323671     PULS   1766 
     15323673     PULS   1754 
     15323675     PULS   1742 
     15323677     PULS   1742 
     15323679     PULS   1730 
     15323681     PULS   1730 
     15323683     PULS   1730 
     15323685     PULS   1719 
     15323687     PULS   1719 
     15323689     PULS   1730 
     15323691     PULS   1742 
     15323693     PULS   1742 
     15323695     PULS   1742 
     15323697     PULS   1742 
     15323699     PULS   1730 
     15323701     PULS   1707 
     15323703     PULS   1683 
     15323705     PULS   1672 
     15323707     PULS   1660 
     15323709     PULS   1672 
     15323711     PULS   1683 
     15323713     PULS   1707 
     15323715     PULS   1730 
     15323717     PULS   1742 
     15323719     PULS   1766 
     15323721     PULS   1777 
     15323723     PULS   1789 
     15323725     PULS   1801 
     15323727     PULS   1801 
     15323729     PULS   1801 
     15323731     PULS   1801 
     15323733     PULS   1813 
     15323735     PULS   1801 
     15323737     PULS   1824 
     15323739     PULS   1813 
     15323741     PULS   1813 
     15323743     PULS   1824 
     15323745     PULS   1836 
     15323747     PULS   1860 
     15323749     PULS   1871 
     15323751     PULS   1895 
     15323753     PULS   1907 
     15323755     PULS   1918 
     15323757     PULS   1918 
     15323759     PULS   1918 
     15323761     PULS   1918 
     15323763     PULS   1895 
     15323765     PULS   1883 
     15323767     PULS   1860 
     15323769     PULS   1848 
     15323771     PULS   1836 
     15323773     PULS   1824 
     15323775     PULS   1801 
     15323777     PULS   1777 
     15323779     PULS   1777 
     15323781     PULS   1754 
     15323783     PULS   1742 
     15323785     PULS   1730 
     15323787     PULS   1730 
     15323789     PULS   1695 
     15323791     PULS   1695 
     15323793     PULS   1683 
     15323795     PULS   1683 
     15323797     PULS   1672 
     15323799     PULS   1672 
     15323801     PULS   1660 
     15323803     PULS   1660 
     15323805     PULS   1660 
     15323807     PULS   1648 
     15323809     PULS   1636 
     15323811     PULS   1625 
     15323813     PULS   1613 
     15323815     PULS   1613 
     15323817     PULS   1601 
     15323819     PULS   1601 
     15323821     PULS   1601 
     15323823     PULS   1613 
     15323825     PULS   1625 
     15323827     PULS   1636 
     15323829     PULS   1648 
     15323831     PULS   1672 
     15323833     PULS   1683 
     15323835     PULS   1695 
     15323837     PULS   1719 
     15323839     PULS   1719 
     15323841     PULS   1719 
     15323843     PULS   1719 
     15323845     PULS   1719 
     15323847     PULS   1707 
     15323849     PULS   1707 
     15323851     PULS   1695 
     15323853     PULS   1707 
     15323855     PULS   1707 
     15323857     PULS   1695 
     15323859     PULS   1707 
     15323861     PULS   1707 
     15323863     PULS   1719 
     15323865     PULS   1719 
     15323867     PULS   1719 
     15323869     PULS   1719 
     15323871     PULS   1719 
     15323873     PULS   1707 
     15323875     PULS   1683 
     15323877     PULS   1672 
     15323879     PULS   1648 
     15323881     PULS   1636 
     15323883     PULS   1625 
     15323885     PULS   1613 
     15323887     PULS   1625 
     15323889     PULS   1636 
     15323891     PULS   1648 
     15323893     PULS   1683 
     15323895     PULS   1695 
     15323897     PULS   1719 
     15323899     PULS   1730 
     15323901     PULS   1730 
     15323903     PULS   1730 
     15323905     PULS   1730 
     15323907     PULS   1719 
     15323909     PULS   1707 
     15323911     PULS   1695 
     15323913     PULS   1683 
     15323915     PULS   1672 
     15323917     PULS   1672 
     15323919     PULS   1660 
     15323921     PULS   1660 
     15323923     PULS   1648 
     15323925     PULS   1660 
     15323927     PULS   1648 
     15323929     PULS   1672 
     15323931     PULS   1672 
     15323933     PULS   1683 
     15323935     PULS   1707 
     15323937     PULS   1730 
     15323939     PULS   1754 
     15323941     PULS   1777 
     15323943     PULS   1777 
     15323945     PULS   1777 
     15323947     PULS   1777 
     15323949     PULS   1766 
     15323951     PULS   1754 
     15323953     PULS   1742 
     15323955     PULS   1730 
     15323957     PULS   1719 
     15323959     PULS   1695 
     15323961     PULS   1707 
     15323963     PULS   1707 
     15323965     PULS   1707 
     15323967     PULS   1719 
     15323969     PULS   1742 
     15323971     PULS   1754 
     15323973     PULS   1766 
     15323975     PULS   1789 
     15323977     PULS   1801 
     15323979     PULS   1813 
     15323981     PULS   1824 
